QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USGALLUP.DM1336.R02,Yes,83,"Would you favor Government loans, on a long time and easy basis, to enable farm tenants to buy the farms they now rent?",,,12/13/1936,Gallup Organization,,Gallup Poll,09/28/1936,10/2/1936,Y,National Adult,5599,Face-to-face interview,Sample size is approximate.
USGALLUP.DM1336.R02,No,17,"Would you favor Government loans, on a long time and easy basis, to enable farm tenants to buy the farms they now rent?",,,12/13/1936,Gallup Organization,,Gallup Poll,09/28/1936,10/2/1936,Y,National Adult,5599,Face-to-face interview,Sample size is approximate.
USGALLUP.36-053.Q1,Yes,51,ARE YOU IN FAVOR OF LEGISLATION REQUIRING TEACHERS IN YOUR STATE TO TAKE A SPECIAL OATH OF LOYALTY?,,,12/13/1936,Gallup Organization,,Gallup Poll,09/28/1936,10/2/1936,Y,National Adult,5599,Face-to-face interview,Sample size is approximate.
USGALLUP.36-053.Q1,No,34,ARE YOU IN FAVOR OF LEGISLATION REQUIRING TEACHERS IN YOUR STATE TO TAKE A SPECIAL OATH OF LOYALTY?,,,12/13/1936,Gallup Organization,,Gallup Poll,09/28/1936,10/2/1936,Y,National Adult,5599,Face-to-face interview,Sample size is approximate.
USGALLUP.36-053.Q1,No opinion,15,ARE YOU IN FAVOR OF LEGISLATION REQUIRING TEACHERS IN YOUR STATE TO TAKE A SPECIAL OATH OF LOYALTY?,,,12/13/1936,Gallup Organization,,Gallup Poll,09/28/1936,10/2/1936,Y,National Adult,5599,Face-to-face interview,Sample size is approximate.
USGALLUP.36-053.Q3,Yes,60,"DO YOU FAVOR THE COMPULSORY OLD-AGE INSURANCE PLAN, STARTING JANUARY FIRST (1937), WHICH REQUIRES EMPLOYERS AND EMPLOYEES TO MAKE EQUAL MONTHLY CONTRIBUTIONS?",,,12/13/1936,Gallup Organization,,Gallup Poll,09/28/1936,10/2/1936,Y,National Adult,5599,Face-to-face interview,Sample size is approximate.
USGALLUP.36-053.Q3,No,27,"DO YOU FAVOR THE COMPULSORY OLD-AGE INSURANCE PLAN, STARTING JANUARY FIRST (1937), WHICH REQUIRES EMPLOYERS AND EMPLOYEES TO MAKE EQUAL MONTHLY CONTRIBUTIONS?",,,12/13/1936,Gallup Organization,,Gallup Poll,09/28/1936,10/2/1936,Y,National Adult,5599,Face-to-face interview,Sample size is approximate.
USGALLUP.36-053.Q3,No opinion,13,"DO YOU FAVOR THE COMPULSORY OLD-AGE INSURANCE PLAN, STARTING JANUARY FIRST (1937), WHICH REQUIRES EMPLOYERS AND EMPLOYEES TO MAKE EQUAL MONTHLY CONTRIBUTIONS?",,,12/13/1936,Gallup Organization,,Gallup Poll,09/28/1936,10/2/1936,Y,National Adult,5599,Face-to-face interview,Sample size is approximate.
USGALLUP.36-053.Q4A,LANDON,31,"REGARDLESS OF HOW YOU, YOURSELF, PLAN TO VOTE, WHICH (1936) PRESIDENTIAL CANDIDATE DO YOU THINK WILL WIN?",* = LESS THAN .5 PERCENT,,12/13/1936,Gallup Organization,,Gallup Poll,09/28/1936,10/2/1936,Y,National Adult,5599,Face-to-face interview,Sample size is approximate.
USGALLUP.36-053.Q4A,ROOSEVELT,69,"REGARDLESS OF HOW YOU, YOURSELF, PLAN TO VOTE, WHICH (1936) PRESIDENTIAL CANDIDATE DO YOU THINK WILL WIN?",* = LESS THAN .5 PERCENT,,12/13/1936,Gallup Organization,,Gallup Poll,09/28/1936,10/2/1936,Y,National Adult,5599,Face-to-face interview,Sample size is approximate.
